,location,price,entered,updated,views,link
0,"Beckett House, 123 Summerhill, Dublin 1",,,22.07.2020,5988,http://www.daft.ie/dublin/multi-units-for-rent/123-summerhill-dublin-1-dublin-175707/
1,"Highfield House Student Accommodation, Marne Villas, Dublin 7",,,08.07.2020,11153,http://www.daft.ie/dublin/multi-units-for-rent/marne-villas-dublin-7-dublin-177813/
2,"Mayor Street, Mayor Street Upper, Dublin 1",,,20.07.2020,2718,http://www.daft.ie/dublin/multi-units-for-rent/mayor-street-upper-dublin-1-dublin-180089/
3,"Summerhill, Mountjoy, Dublin 1",,,20.07.2020,1782,http://www.daft.ie/dublin/multi-units-for-rent/mountjoy-dublin-1-dublin-180095/
4,"Ardcairn House, 8, Grangegorman Lower, Dublin 7",,,30.06.2020,1231,http://www.daft.ie/dublin/multi-units-for-rent/8-grangegorman-lower-dublin-7-dublin-180650/
5,"Swuite Dublin Student Accommodation, Grangegorman, Dublin 7",,,01.07.2020,1594,http://www.daft.ie/dublin/multi-units-for-rent/grangegorman-dublin-7-dublin-185276/
6,"Highlight Parkgate, 43 Montpelier Hill, Dublin 7",,,20.05.2020,4469,http://www.daft.ie/dublin/multi-units-for-rent/43-montpelier-hill-dublin-7-dublin-175086/
7,From Here,,,19.05.2020,5621,http://www.daft.ie/dublin/multi-units-for-rent/cork-street-dublin-8-dublin-175094/
8,"Binary Hub, Bonham Street, Dublin 8",,,22.07.2020,7172,http://www.daft.ie/dublin/multi-units-for-rent/bonham-street-dublin-8-dublin-175703/
9,"Dorset Point, 107 Dorset Street Upper, Dublin 1",,,22.07.2020,13034,http://www.daft.ie/dublin/multi-units-for-rent/107-dorset-street-upper-dublin-1-dublin-175725/
10,"Brickworks, Brickfield Lane, Dublin 8",,,19.05.2020,2597,http://www.daft.ie/dublin/multi-units-for-rent/brickfield-lane-dublin-8-dublin-179075/
11,"Grangegorman, Grangegorman Lower, Dublin 7",,,20.07.2020,959,http://www.daft.ie/dublin/multi-units-for-rent/grangegorman-lower-dublin-7-dublin-180090/
12,"Highfield Park, 274 North Circular Road, Dublin 7",,,30.06.2020,3749,http://www.daft.ie/dublin/multi-units-for-rent/274-north-circular-road-dublin-7-dublin-180588/
13,Point Campus,,,25.06.2020,3491,http://www.daft.ie/dublin/multi-units-for-rent/mayor-street-upper-dublin-1-dublin-182648/
14,"Aspen Student Life, Ballymun Road, Ballymun, Dublin 9",,,20.07.2020,10671,http://www.daft.ie/dublin/multi-units-for-rent/ballymun-road-ballymun-dublin-174970/
15,"Brickworks, Brickfield Lane, Dublin 8",,,25.07.2020,453,http://www.daft.ie/dublin/multi-units-for-rent/brickfield-lane-dublin-8-dublin-187475/
16,"Highlight Thomas Street, 32 Thomas Street, Dublin 8",,,20.05.2020,6725,http://www.daft.ie/dublin/multi-units-for-rent/32-thomas-street-dublin-8-dublin-175090/
17,From Here,,,20.05.2020,8763,http://www.daft.ie/dublin/multi-units-for-rent/blackhall-place-dublin-7-dublin-175188/
18,"Cardy Rock Drive, Balbriggan, North Co. Dublin",1000.0,"Jul 14, 2020",25.07.2020,2554,http://www.daft.ie/dublin/apartments-for-rent/balbriggan/cardy-rock-drive-balbriggan-dublin-2050626/
19,"Mount Pleasant Avenue Upper, Ranelagh, Dublin 6, South Dublin City",1000.0,"Jul 17, 2020",23.07.2020,1942,http://www.daft.ie/dublin/studio-apartments-for-rent/ranelagh/mount-pleasant-avenue-upper-ranelagh-dublin-2051787/
22,"13 Bushfield Grove, Old Naas Road., Clondalkin, Dublin 22, West Co. Dublin",1000.0,"Jun 18, 2020",22.07.2020,6652,http://www.daft.ie/dublin/studio-apartments-for-rent/clondalkin/13-bushfield-grove-old-naas-road-clondalkin-dublin-2041754/
23,"Glenview Park, Tallaght, Dublin 24, South Co. Dublin",1000.0,"Nov 25, 2019",26.07.2020,11883,http://www.daft.ie/dublin/studio-apartments-for-rent/tallaght/glenview-park-tallaght-dublin-1985077/
24,"49 Fernwood Avenue, Springfield, Tallaght, Dublin 24, South Co. Dublin",1000.0,"Jul 12, 2020",26.07.2020,3237,http://www.daft.ie/dublin/studio-apartments-for-rent/tallaght/49-fernwood-avenue-springfield-tallaght-dublin-2049740/
25,"Shanowen, Santry, Dublin 9, North Dublin City",1000.0,"Jul 15, 2020",21.07.2020,1659,http://www.daft.ie/dublin/studio-apartments-for-rent/santry/shanowen-santry-dublin-2050758/
26,"6 Pembroke Place, Off Pembroke Street Upper. Dubli, Dublin 2, Dublin City Centre",1000.0,"Jul 20, 2020",20.07.2020,2395,http://www.daft.ie/dublin/apartments-for-rent/dublin-2/6-pembroke-place-off-pembroke-street-upper-dubli-dublin-2-dublin-2052540/
27,"Parnell Street, Dublin 1, Dublin City Centre",1000.0,"Jun 11, 2020",21.07.2020,7351,http://www.daft.ie/dublin/flats-for-rent/dublin-1/parnell-street-dublin-1-dublin-2039180/
28,"Huntstown Drive, Mulhuddart, Huntstown, Dublin 15, West Co. Dublin",1000.0,"Jul 23, 2020",23.07.2020,472,http://www.daft.ie/dublin/studio-apartments-for-rent/huntstown/huntstown-drive-mulhuddart-huntstown-dublin-2053456/
29,"Lorcan Avenue, Kilmore, Kilmore, Dublin 5, North Dublin City",230.0,"Jul 06, 2020",24.07.2020,1421,http://www.daft.ie/dublin/studio-apartments-for-rent/kilmore/lorcan-avenue-santry-kilmore-dublin-2047633/
30,"Harts Corner, Glasnevin, Dublin 9, North Dublin City",230.0,"Jul 13, 2020",22.07.2020,612,http://www.daft.ie/dublin/studio-apartments-for-rent/glasnevin/harts-corner-glasnevin-dublin-2050310/
31,"Blackhorse Avenue, Cabra, Dublin 7, North Dublin City",230.0,"Jul 05, 2020",22.07.2020,588,http://www.daft.ie/dublin/apartments-for-rent/cabra/blackhorse-avenue-cabra-dublin-2047366/
32,"Flat 1, 101 Marlborough Road, Donnybrook, Donnybrook, Dublin 4, South Dublin City",1011.0,"Jul 07, 2020",24.07.2020,1447,http://www.daft.ie/dublin/studio-apartments-for-rent/donnybrook/flat-1-101-marlborough-road-donnybrook-donnybrook-dublin-2048011/
33,"Merville, Stillorgan, South Co. Dublin",1015.0,"Jul 25, 2020",25.07.2020,465,http://www.daft.ie/dublin/flats-for-rent/stillorgan/merville-stillorgan-dublin-2054124/
34,"Moyne Rd, Ranelagh, Dublin 6, South Dublin City",235.0,"May 20, 2020",20.05.2020,4389,http://www.daft.ie/dublin/studio-apartments-for-rent/ranelagh/moyne-rd-ranelagh-dublin-2031747/
35,"Drumcondra Road Lower, Drumcondra, Dublin 3, North Dublin City",1040.0,"Jul 21, 2020",24.07.2020,656,http://www.daft.ie/dublin/studio-apartments-for-rent/drumcondra/drumcondra-road-lower-drumcondra-dublin-2052666/
36,"23 Kilcarrig Crescent, Fettercairn, Tallaght, Dublin 24, South Co. Dublin",1040.0,"Jun 26, 2020",21.07.2020,1883,http://www.daft.ie/dublin/studio-apartments-for-rent/tallaght/23-kilcarrig-crescent-fettercairn-tallaght-dublin-2044406/
37,"Rathmines Road, Rathmines, Dublin 6, South Dublin City",240.0,"May 07, 2020",26.07.2020,9797,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/rathmines-road-rathmines-dublin-2027612/
38,"South Circular Road, Portobello, Dublin 8, South Dublin City",1050.0,"Jun 01, 2020",26.07.2020,3535,http://www.daft.ie/dublin/studio-apartments-for-rent/portobello/south-circular-road-portobello-dublin-2035201/
39,"Stamer Street, Portobello, Dublin 8, South Dublin City",1050.0,"Jul 26, 2020",26.07.2020,0,http://www.daft.ie/dublin/studio-apartments-for-rent/portobello/stamer-street-portobello-dublin-2054230/
40,"Pembroke Road, Ballsbridge, Dublin 4, South Dublin City",1050.0,"Jul 14, 2020",24.07.2020,5028,http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/pembroke-road-ballsbridge-dublin-2050427/
41,"Earlsfort, Lucan, West Co. Dublin",1050.0,"May 31, 2020",25.07.2020,2159,http://www.daft.ie/dublin/studio-apartments-for-rent/lucan/earlsfort-lucan-dublin-2035066/
42,"Trasnagh, Newcastle Road, Lucan, West Co. Dublin",1050.0,"Jul 21, 2020",24.07.2020,433,http://www.daft.ie/dublin/studio-apartments-for-rent/lucan/trasnagh-newcastle-road-lucan-dublin-2052691/
43,"34 Lower Rathmines Road, Rathmines, Dublin 6, South Dublin City",245.0,"Jul 22, 2020",23.07.2020,849,http://www.daft.ie/dublin/flats-for-rent/rathmines/34-lower-rathmines-road-rathmines-dublin-2053215/
44,"35 North Circular Road, North Circular Road, Dublin 7, North Dublin City",1080.0,"Jun 26, 2020",23.07.2020,6730,http://www.daft.ie/dublin/flats-for-rent/north-circular-road/35-north-circular-road-north-circular-road-dublin-2044476/
45,"5 Cabra Road, Phibsborough, Dublin 7, North Dublin City",1080.0,"Jul 23, 2020",23.07.2020,837,http://www.daft.ie/dublin/flats-for-rent/phibsborough/5-cabra-road-phibsborough-dublin-2053601/
46,"Blessington Street, Dublin 1, Dublin City Centre",1080.0,"Jul 02, 2020",25.07.2020,3694,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/blessington-street-dublin-1-dublin-2046361/
47,"Harrington Street, Portobello, Dublin 8, South Dublin City",250.0,"May 08, 2020",25.07.2020,2484,http://www.daft.ie/dublin/studio-apartments-for-rent/portobello/harrington-street-portobello-dublin-2028077/
48,"Palmerstown Close, Palmerstown, Dublin 20, West Co. Dublin",250.0,"May 12, 2020",08.07.2020,4262,http://www.daft.ie/dublin/studio-apartments-for-rent/palmerstown/palmerstown-close-palmerstown-dublin-2029261/
58,"Heyday At Carman'S Hall, 16",,,24.07.2020,195,http://www.daft.ie/dublin/multi-units-for-rent/16-22-carmans-hall-dublin-8-dublin-187890/
63,"New Mill And The Tannery, Mill Street, Dublin 8",,,30.06.2020,2676,http://www.daft.ie/dublin/multi-units-for-rent/mill-street-dublin-8-dublin-180607/
64,"Dominick Place, 25",,,30.06.2020,923,http://www.daft.ie/dublin/multi-units-for-rent/25-29-dominick-street-upper-dublin-7-dublin-180652/
65,"409 Stillorgan Road, Stillorgan Road, Stillorgan, Co. Dublin",,,14.07.2020,3189,http://www.daft.ie/dublin/multi-units-for-rent/stillorgan-road-stillorgan-dublin-185228/
68,"Iveragh Road, Whitehall, Dublin 9, North Dublin City",1100.0,"Jun 17, 2020",25.07.2020,8261,http://www.daft.ie/dublin/flats-for-rent/whitehall/iveragh-road-whitehall-dublin-2041393/
69,"Philipsburgh Avenue, Fairview, Dublin 3, North Dublin City",1100.0,"Feb 10, 2020",21.07.2020,12154,http://www.daft.ie/dublin/flats-for-rent/fairview/philipsburgh-avenue-fairview-dublin-2004696/
70,"Flat 1, Avo Dale, Dublin 8, South Dublin City",1100.0,,24.07.2020,3726,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-8/flat-1-avo-dale-dublin-8-dublin-2044307/
71,"64 Russell Ave, Drumcondra, Dublin 3, North Dublin City",1100.0,"Jul 20, 2020",20.07.2020,412,http://www.daft.ie/dublin/studio-apartments-for-rent/drumcondra/64-russell-ave-drumcondra-dublin-2052155/
72,"Belgrave Road, Ranelagh, Dublin 6, South Dublin City",1100.0,"Jul 23, 2020",23.07.2020,521,http://www.daft.ie/dublin/studio-apartments-for-rent/ranelagh/belgrave-road-ranelagh-dublin-2053609/
73,"Sherrard St, Dublin 1, Dublin City Centre",1100.0,"Mar 23, 2020",21.07.2020,3061,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/sherrard-st-dublin-1-dublin-2016341/
74,"Bloomfield Avenue, South Circular Road, Portobello, Dublin 8, South Dublin City",1100.0,"May 10, 2020",24.07.2020,5993,http://www.daft.ie/dublin/studio-apartments-for-rent/portobello/bloomfield-avenue-south-circular-road-portobello-dublin-2028468/
75,"93 Hollybrook Rd, Clontarf, Dublin 3, Clontarf, Dublin 3, North Dublin City",1100.0,"Jul 26, 2020",26.07.2020,17,http://www.daft.ie/dublin/studio-apartments-for-rent/clontarf/93-hollybrook-rd-clontarf-dublin-3-clontarf-dublin-2054171/
76,"Waterloo Road, Ballsbridge, Dublin 4, South Dublin City",1100.0,"Jul 11, 2020",22.07.2020,1284,http://www.daft.ie/dublin/studio-apartments-for-rent/ballsbridge/waterloo-road-ballsbridge-dublin-2049611/
77,"314 South Circular Road, South Circular Road, Dublin 8, South Dublin City",1100.0,"Jul 21, 2020",24.07.2020,637,http://www.daft.ie/dublin/studio-apartments-for-rent/south-circular-road/314-south-circular-road-south-circular-road-dublin-2052652/
79,"Cabra Road, Phibsborough, Dublin 7, North Dublin City",1100.0,"Jul 20, 2018",24.07.2020,27144,http://www.daft.ie/dublin/studio-apartments-for-rent/phibsborough/cabra-road-phibsborough-dublin-1855795/
80,"Mountjoy Street, Dublin 1, Dublin City Centre",1100.0,"Jun 23, 2020",23.07.2020,730,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/mountjoy-street-dublin-1-dublin-2043080/
81,"5 Blessington Street, Dublin 1, Dublin City Centre",1100.0,,22.07.2020,215,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/5-blessington-street-dublin-1-dublin-2053085/
82,"Wellington Place, Ballsbridge, Ballsbridge, Dublin 4, South Dublin City",1100.0,"Jun 24, 2020",21.07.2020,3380,http://www.daft.ie/dublin/studio-apartments-for-rent/ballsbridge/wellington-place-ballsbridge-ballsbridge-dublin-2043714/
83,"New Cabra Road, Cabra, Dublin 7, North Dublin City",1100.0,,19.07.2020,919,http://www.daft.ie/dublin/studio-apartments-for-rent/cabra/new-cabra-road-cabra-dublin-2047050/
84,"Arran Quay, Dublin 7, North Dublin City",1100.0,,23.07.2020,760,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-7/arran-quay-dublin-7-dublin-2053493/
85,"9, 28 Leinster Square, Rathmines, Dublin 6, South Dublin City",1100.0,,24.07.2020,1293,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/9-28-leinster-square-rathmines-dublin-2014293/
86,"7 Upper Clanbrassil Street, Harold'S Cross, Dublin 6, South Dublin City",1100.0,"Jul 23, 2020",25.07.2020,1378,http://www.daft.ie/dublin/flats-for-rent/harolds-cross/7-upper-clanbrassil-street-harolds-cross-dublin-2053636/
87,"Marlborough Road, North Circular Road, Dublin 7, North Dublin City",1100.0,"Jul 09, 2020",24.07.2020,3065,http://www.daft.ie/dublin/flats-for-rent/dublin-7/marlborough-road-north-circular-road-dublin-7-dublin-2048818/
88,"Beechwood Avenue Lower, Ranelagh, Dublin 6, South Dublin City",1100.0,"May 21, 2020",24.07.2020,3948,http://www.daft.ie/dublin/studio-apartments-for-rent/ranelagh/beechwood-avenue-lower-ranelagh-dublin-2031811/
89,"35 Fitzgibbon Street, Dublin 1, Dublin City Centre",1100.0,"Jun 20, 2020",23.07.2020,2453,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/35-fitzgibbon-street-dublin-1-dublin-2042200/
91,"Mulvey Park, Churchtown, Dublin 14, South Dublin City",255.0,"Jul 15, 2020",24.07.2020,739,http://www.daft.ie/dublin/studio-apartments-for-rent/churchtown/mulvey-park-dundrum-churchtown-dublin-2051021/
92,"60 Belgrave Square North, Rathmines, Dublin 6, South Dublin City",1122.0,,25.07.2020,756,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/flat-13-60-belgrave-square-north-rathmines-dublin-2047563/
93,"228 Clonliffe Road Drumcondra Dublin 9, Phibsborough, Dublin 7, North Dublin City",260.0,,26.07.2020,2239,http://www.daft.ie/dublin/flats-for-rent/phibsborough/228-clonliffe-road-drumcondra-dublin-9-phibsborough-dublin-2048318/
94,"Dublin 11, Ballymun, Dublin 9, North Dublin City",1150.0,"Jul 23, 2020",23.07.2020,521,http://www.daft.ie/dublin/apartments-for-rent/ballymun/dublin-11-ballymun-dublin-2053364/
95,"Kenilworth Road, Rathmines, Dublin 6, South Dublin City",1150.0,,24.07.2020,7421,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/kenilworth-road-rathmines-dublin-2011549/
96,"Inchicore Road, Kilmainham, Dublin 8, South Dublin City",1150.0,"Jul 23, 2020",23.07.2020,781,http://www.daft.ie/dublin/flats-for-rent/kilmainham/inchicore-road-kilmainham-dublin-2053638/
97,"Apt 4, 540 North Circular Road, Dublin 1, Dublin City Centre",1150.0,"Jul 09, 2020",24.07.2020,1716,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/apt-4-540-north-circular-road-dublin-1-dublin-2048741/
98,"B, Artane, Dublin 5, North Dublin City",1150.0,"Jul 20, 2020",22.07.2020,2047,http://www.daft.ie/dublin/flats-for-rent/artane/b-artane-dublin-2052567/
99,"Johnstown Park, Glasnevin, Glasnevin, Dublin 11, North Dublin City",1150.0,"Jul 21, 2020",21.07.2020,2785,http://www.daft.ie/dublin/apartments-for-rent/glasnevin/johnstown-park-glasnevin-glasnevin-dublin-2052872/
100,"Flat 3, 92 Rathgar Road, Rathgar, Dublin 6, South Dublin City",1150.0,,25.07.2020,126,http://www.daft.ie/dublin/studio-apartments-for-rent/rathgar/flat-3-92-rathgar-road-rathgar-dublin-2053233/
101,"Grove Park, Rathmines, Dublin 6, South Dublin City",1150.0,,22.07.2020,4744,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/grove-park-rathmines-dublin-2011519/
102,"46 Rossmore Lawns Templeogue, Templeogue, Dublin 6W, South Dublin City",1150.0,"Jul 17, 2020",18.07.2020,1859,http://www.daft.ie/dublin/flats-for-rent/templeogue/46-rossmore-lawns-templeogue-templeogue-dublin-2051753/
103,"Cabra Park, Phibsborough, Dublin 7, North Dublin City",1150.0,"Jul 20, 2020",25.07.2020,1509,http://www.daft.ie/dublin/flats-for-rent/phibsborough/cabra-park-phibsborough-dublin-2052158/
104,"Forest Close, Kingswood, Dublin 22, West Co. Dublin",1150.0,,26.07.2020,7743,http://www.daft.ie/dublin/studio-apartments-for-rent/kingswood/forest-close-kingswood-dublin-2016526/
105,"Flat 7, 23 York Road, Rathmines, Dublin 6, South Dublin City",1150.0,"Jul 21, 2020",24.07.2020,403,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/flat-7-23-york-road-rathmines-dublin-2052647/
106,"Flat 6, 101 Marlborough Road, Donnybrook, Donnybrook, Dublin 4, South Dublin City",1150.0,"Jul 21, 2020",24.07.2020,597,http://www.daft.ie/dublin/studio-apartments-for-rent/donnybrook/flat-6-101-marlborough-road-donnybrook-donnybrook-dublin-2052654/
107,,1150.0,"Jul 14, 2020",23.07.2020,1704,http://www.daft.ie/dublin/studio-apartments-for-rent/dalkey/tr-na-ng-56-saval-park-rd-dalkey-dublin-2050571/
108,"North Circular Road, Stoneybatter, Dublin 7, North Dublin City",1150.0,"Jul 22, 2020",24.07.2020,320,http://www.daft.ie/dublin/studio-apartments-for-rent/stoneybatter/north-circular-road-stoneybatter-dublin-2053152/
109,"Flat 4, 7 Grove Park, Rathmines, Dublin 6, South Dublin City",1151.0,,25.07.2020,1530,http://www.daft.ie/dublin/apartments-for-rent/rathmines/flat-4-7-grove-park-rathmines-dublin-2052538/
110,"Adelaide Rd, Portobello, Dublin 8, South Dublin City",265.0,"Jul 16, 2020",25.07.2020,363,http://www.daft.ie/dublin/studio-apartments-for-rent/portobello/adelaide-rd-portobello-dublin-2051118/
111,"York Road, Rathmines, Dublin 6, South Dublin City",1155.0,"Jul 14, 2020",24.07.2020,1305,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/york-road-rathmines-dublin-2050662/
112,"Berkeley Street, Dublin 7, North Dublin City",1156.0,"Jul 13, 2020",23.07.2020,2663,http://www.daft.ie/dublin/apartments-for-rent/dublin-7/berkeley-street-dublin-7-dublin-2050137/
113,"Tibradden, Rathfarnham, Dublin 14, South Dublin City",1160.0,,24.07.2020,1624,http://www.daft.ie/dublin/studio-apartments-for-rent/rathfarnham/tibradden-rathfarnham-dublin-2050646/
114,"18 Whitworth Hall, Morning Star Avenue, Smithfield, Dublin 1, Dublin City Centre",1160.0,"Jul 24, 2020",25.07.2020,751,http://www.daft.ie/dublin/studio-apartments-for-rent/smithfield/18-whitworth-hall-morning-star-avenue-smithfield-dublin-2053970/
115,"Rathbeale Road, Swords, North Co. Dublin",1160.0,"Jul 25, 2020",25.07.2020,315,http://www.daft.ie/dublin/flats-for-rent/swords/rathbeale-road-swords-dublin-2054176/
116,"North Strand Road, Dublin 1, Dublin City Centre",1170.0,"Jun 12, 2020",25.07.2020,1356,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/111-north-strand-road-dublin-1-dublin-2039270/
117,"Leinster Road, Rathmines, Dublin 6, South Dublin City",270.0,"Jul 20, 2020",20.07.2020,1453,http://www.daft.ie/dublin/flats-for-rent/rathmines/leinster-road-rathmines-dublin-2052532/
118,"Adelaide Rd, Dublin 2, Dublin City Centre",270.0,"May 29, 2020",25.07.2020,2359,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-2/adelaide-rd-dublin-2-dublin-2034579/
119,"Cabra Park, Phibsborough, Dublin 7, North Dublin City",270.0,"Jul 20, 2020",23.07.2020,797,http://www.daft.ie/dublin/flats-for-rent/phibsborough/cabra-park-phibsborough-dublin-2052488/
120,"12B, Block B, Echlin Buildings, Echlin Street, Dublin 8, South Dublin City",1174.0,"Jul 21, 2020",25.07.2020,1734,http://www.daft.ie/dublin/apartments-for-rent/dublin-8/12b-block-b-echlin-buildings-echlin-street-dublin-8-dublin-2052920/
121,"16 Addison Road, Fairview, Dublin 3, North Dublin City",1175.0,"Jun 24, 2020",24.07.2020,5962,http://www.daft.ie/dublin/apartments-for-rent/dublin-3/16-addison-road-fairview-dublin-3-dublin-2043546/
122,"Milton Hall, Dublin Road, Swords, North Co. Dublin",1180.0,,24.07.2020,4238,http://www.daft.ie/dublin/apartments-for-rent/swords/milton-hall-dublin-road-swords-dublin-2049897/
123,"River Gardens, Glasnevin, Dublin 11, North Dublin City",1195.0,"Jul 09, 2020",24.07.2020,1759,http://www.daft.ie/dublin/studio-apartments-for-rent/glasnevin/river-gardens-glasnevin-dublin-2048929/
124,"Ballybough Rd, Ballybough, Dublin 3, North Dublin City",1195.0,"Jun 05, 2020",24.07.2020,2768,http://www.daft.ie/dublin/apartments-for-rent/ballybough/ballybough-rd-ballybough-dublin-2036905/
125,"Apt 5, 26 Marlborough Street, Dublin 1, Dublin City Centre",275.0,,25.07.2020,2397,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/apt-5-26-marlborough-street-dublin-1-dublin-2000545/
126,"Marlborough Court, Dublin 1, Dublin 1, Dublin City Centre",275.0,,25.07.2020,1730,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/marlborough-court-dublin-1-dublin-1-dublin-1979838/
127,"Flat 4, 7 Grove Park, Rathmines, Dublin 6, South Dublin City",1197.0,"Jul 20, 2020",24.07.2020,221,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/grove-park-rathmines-dublin-2052286/
139,"118 North Strand Road, Dublin 3, North Dublin City",1200.0,"Jul 22, 2020",25.07.2020,244,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-3/118-north-strand-road-dublin-3-dublin-2053021/
140,"Ballymun Road, Glasnevin, Dublin 11, North Dublin City",1200.0,,24.07.2020,6116,http://www.daft.ie/dublin/apartments-for-rent/glasnevin/ballymun-road-glasnevin-dublin-2017488/
141,"Studio, Rathmines, Dublin 6, South Dublin City",1200.0,"Jul 23, 2020",23.07.2020,853,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/studio-rathmines-dublin-2053626/
142,"112 Pembroke Road, Dublin 4, Ballsbridge, Dublin 4, South Dublin City",1200.0,"Jul 08, 2020",22.07.2020,4436,http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/112-pembroke-road-dublin-4-ballsbridge-dublin-2048457/
143,"Apartment 6, 136 Rathmines Road Lower, Rathmines, Dublin 6, South Dublin City",1200.0,,25.07.2020,148,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/apartment-6-136-rathmines-road-lower-rathmines-dublin-2053073/
144,"416 Harold'S Cross Road, Harold'S Cross, Dublin 6, South Dublin City",1200.0,"Jul 24, 2020",25.07.2020,305,http://www.daft.ie/dublin/studio-apartments-for-rent/harolds-cross/416-harolds-cross-road-harolds-cross-dublin-2053915/
145,"Flat 8, 7 Grove Park, Rathmines, Dublin 6, South Dublin City",1200.0,"Jul 09, 2020",24.07.2020,4913,http://www.daft.ie/dublin/apartments-for-rent/rathmines/flat-8-7-grove-park-rathmines-dublin-2048985/
146,"Talbot Hall, Dublin 1, Dublin City Centre",1200.0,,24.07.2020,2312,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/talbot-hall-dublin-1-dublin-2040722/
147,"Dame Street, Dublin 2, Dublin City Centre",1200.0,"Jul 22, 2020",24.07.2020,1905,http://www.daft.ie/dublin/flats-for-rent/dublin-2/dame-street-dublin-2-dublin-2053171/
152,"Flat 5, 9 Grove Park, Rathmines, Dublin 6, South Dublin City",1200.0,"Jul 01, 2020",24.07.2020,554,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/flat-5-9-grove-park-rathmines-dublin-2045987/
153,"Broadfield Drive, Rathcoole, South Co. Dublin",1200.0,"Jun 19, 2020",21.07.2020,1695,http://www.daft.ie/dublin/flats-for-rent/rathcoole/broadfield-drive-rathcoole-dublin-2041934/
154,"Apartment 6, 136 Rathmines Road Lower, Rathmines, Dublin 6, South Dublin City",1200.0,"Jul 10, 2020",24.07.2020,1041,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/apartment-6-136-rathmines-road-lower-rathmines-dublin-2049240/
155,"Lower Sherrard Street, Dublin 1, Dublin City Centre",1200.0,"Jun 02, 2020",24.07.2020,4192,http://www.daft.ie/dublin/flats-for-rent/dublin-1/lower-sherrard-street-dublin-1-dublin-2035612/
156,"Flat 4 94 Ranelagh Road, Ranelagh, Dublin 6, South Dublin City",1200.0,,24.07.2020,1673,http://www.daft.ie/dublin/studio-apartments-for-rent/ranelagh/94-ranelagh-road-ranelagh-dublin-2037474/
157,"Apartment 7 Carlton Court, St Lawrence Road, Clontarf, Dublin 3, North Dublin City",1200.0,"Jul 20, 2020",20.07.2020,2139,http://www.daft.ie/dublin/apartments-for-rent/clontarf/apartment-7-carlton-court-st-lawrence-road-clontarf-dublin-2052397/
158,"Flat 5, 26 Vernon Avenue, Clontarf, Dublin 3, North Dublin City",1200.0,"Jul 03, 2020",24.07.2020,2510,http://www.daft.ie/dublin/flats-for-rent/clontarf/flat-5-26-vernon-avenue-clontarf-dublin-2046709/
159,"Flat 6, 10 Leinster Road, Rathmines, Dublin 6, South Dublin City",1200.0,"Jul 22, 2020",25.07.2020,255,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/flat-6-10-leinster-road-rathmines-dublin-2053320/
160,"Flat 2, 130 Rathmines Road Lower, Rathmines, Dublin 6, South Dublin City",1200.0,"Jul 21, 2020",24.07.2020,414,http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/flat-2-130-rathmines-road-lower-rathmines-dublin-2052731/
161,"No. 30 Nelson Street, Dublin 7, North Dublin City",1200.0,,25.07.2020,1182,http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-7/no-30-nelson-street-dublin-7-dublin-2047609/
162,"Eden Park, Dun Laoghaire, South Co. Dublin",1200.0,,25.07.2020,4553,http://www.daft.ie/dublin/apartments-for-rent/dun-laoghaire/eden-park-dun-laoghaire-dublin-2043788/
163,"29 Main Street, Beaupark, Clongriffin, Dublin 13, North Dublin City",1200.0,"Jul 23, 2020",23.07.2020,1758,http://www.daft.ie/dublin/apartments-for-rent/clongriffin/29-main-street-beaupark-clongriffin-dublin-2053360/
